,x,y,z
156649,5951736.91,2159965.79,89.11
156650,5951737.76,2159965.46,89.24
156651,5951735.17,2159966.2800000003,98.98
156652,5951736.09,2159965.92,99.08
156653,5951732.0200000005,2159987.31,86.71000000000001
156654,5951723.62,2159990.72,95.67
156655,5951722.7,2159991.05,95.51
156656,5951728.12,2159989.05,96.33
156657,5951731.53,2159987.71,96.78
156658,5951732.38,2159987.31,96.78
156659,5951729.89,2159988.39,96.62
156660,5951739.63,2159984.29,87.73
156661,5951741.01,2159983.77,87.96000000000001
156662,5951741.37,2159983.64,87.93
156663,5951741.96,2159983.47,88.09
156664,5951745.7700000005,2159981.9,88.62
156665,5951734.65,2159986.2600000002,87.11
156666,5951732.8100000005,2159986.92,86.84
156667,5951734.0200000005,2159986.66,87.04
156668,5951737.01,2159985.34,87.3
156669,5951737.8,2159985.11,87.43
156670,5951739.99,2159984.42,97.87
156671,5951740.55,2159984.19,97.93
156672,5951735.7,2159985.97,97.28
156673,5951737.83,2159985.31,97.54
156674,5951719.91,2159992.17,75.43
156675,5951720.28,2159992.0,75.36
156676,5951720.11,2159992.0,85.2
156677,5951757.51,2159977.37,80.28
156678,5951761.94,2159975.63,80.87
156679,5951761.45,2159976.06,80.94
156680,5951762.600000001,2159975.57,80.94
156681,5951762.89,2159975.21,81.14
156682,5951764.5,2159974.84,81.27
156683,5951767.88,2159973.37,81.66
156684,5951770.7700000005,2159972.15,82.05
156685,5951770.08,2159972.68,81.96000000000001
156686,5951750.36,2159980.16,79.3
156687,5951746.46,2159981.64,78.84
156688,5951747.47,2159981.41,78.94
156689,5951754.69,2159978.58,79.89
156690,5951755.64,2159978.19,80.05
156691,5951757.32,2159977.6,90.16
156692,5951759.19,2159976.75,90.35000000000001
156693,5951760.5600000005,2159976.12,90.62
156694,5951764.57,2159974.65,91.17
156695,5951765.62,2159974.32,91.31
156696,5951770.44,2159972.22,91.99
156697,5951772.44,2159971.56,92.26
156698,5951771.72,2159972.09,92.09
156699,5951769.55,2159972.7800000003,91.86
156700,5951766.21,2159974.22,91.47
156701,5951748.16,2159981.0100000002,88.94
156702,5951749.18,2159980.7800000003,89.04
156703,5951751.05,2159980.0,89.3
156704,5951752.03,2159979.54,89.4
156705,5951746.39,2159981.9,88.68
156706,5951753.7700000005,2159978.7800000003,89.7
156707,5951754.72,2159978.49,89.8
156708,5951756.4,2159977.96,90.06
156709,5951750.82,2159980.09,99.25
156710,5951775.33,2159970.42,82.68
156711,5951777.23,2159969.66,82.97
156712,5951776.38,2159969.99,82.74
156713,5951778.3100000005,2159969.27,83.07000000000001
156714,5951784.8100000005,2159966.94,84.09
156715,5951779.3,2159968.84,83.3
156716,5951780.41,2159968.5100000002,83.46000000000001
156717,5951773.95,2159971.04,82.61
156718,5951789.11,2159965.23,84.81
156719,5951785.89,2159966.45,84.35000000000001
156720,5951790.94,2159964.38,85.01
156721,5951792.16,2159963.92,85.27
156722,5951774.11,2159970.91,92.39
156723,5951775.62,2159970.48,92.75
156724,5951777.0,2159969.79,92.91
156725,5951778.05,2159969.37,93.11
156726,5951778.87,2159969.04,93.21000000000001
156727,5951779.99,2159968.64,93.27
156728,5951780.51,2159968.58,93.47
156729,5951782.05,2159967.89,93.63
156730,5951780.97,2159968.25,93.54
156731,5951787.57,2159965.79,94.59
156732,5951792.62,2159963.82,95.24
156733,5951741.37,2159963.95,99.77
156734,5951743.34,2159963.23,100.0
156735,5951750.2,2159960.5100000002,100.85000000000001
156736,5951754.72,2159958.57,101.51
156737,5951754.04,2159959.13,101.25
156738,5951756.82,2159957.88,101.67
156739,5951763.39,2159955.2600000002,102.53
156740,5951762.2700000005,2159955.75,102.33
156741,5951772.18,2159951.81,103.81
156742,5951771.82,2159952.17,103.64
156743,5951779.2,2159949.09,104.59
156744,5951780.09,2159948.93,104.69
